pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-28,94.4,-2.14,5.25,"Weissert, Greg",595879,669711,,called_strike,,,,,4,Called Strike,R,R,R,BOS,DET,S,,,0,0,2025,-0.81,1.07,-0.7830320945592117,2.835695626850526,,,,0,9,Top,,,,,,,5.271479854478413,-137.46349578211652,-2.956713722158683,-11.431278844800945,30.358289615127756,-18.17239729887189,3.51999877888415,1.60463616066656,,,,93.4,2385,5.6,776151,657136,663993,666152,681987,686765,680776,678882,677800,54.88,,,,,,,,70,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,224,0.011,-0.039,,,,0.039,,1,-1,0.835,0.165,30,32,30,33,1,3,2,1,4,2,1.48,0.81,0.81,18.9,,,,,
FF,2025-09-28,97.6,-2.38,5.96,"Rainey, Tanner",680776,663432,field_out,hit_into_play,,,,,9,"Jarren Duran grounds out, first baseman Andy Ibáñez to pitcher Tanner Rainey.",R,L,R,BOS,DET,X,3,ground_ball,1,0,2025,-0.67,1.5,0.7056686317507305,1.9977820591629591,,,,2,8,Bot,146.24,172.97,,,,,9.894603279739806,-141.57761216728528,-8.601442022987733,-11.38230962292655,33.787807723917666,-10.119382379534862,3.5,1.65,14,62.4,-6,97.8,2454,6.7,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.85,0.052,0.053,0.0,1,0,0,2,69,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,213,-0.009,-0.297,77.2,7.7,0.055,0.297,88.0,1,1,0.844,0.844,32,28,33,29,1,4,7,2,,2,0.92,0.67,-0.67,41.2,-4.271289279009807,-4.201769044933388,35.365252226191735,29.66731600056353,28.233687251118024
SL,2025-09-28,89.1,-2.29,6.01,"Rainey, Tanner",680776,663432,,ball,,,,,14,Ball,R,L,R,BOS,DET,B,,,0,0,2025,0.33,0.19,1.839171803036905,1.1730253386175686,,,,2,8,Bot,,,,,,,9.492742372781564,-129.4900824360236,-6.309316379891666,1.8577941943618383,25.116318270577185,-28.921620554653213,3.53658574576068,1.69062989348447,,,,89.6,2474,6.5,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.97,,,,,,,,69,1,Slider,4,3,4,3,3,4,4,3,Standard,Standard,103,0.001,0.037,,,,-0.037,,1,1,0.843,0.843,32,28,33,29,1,4,7,2,,2,2.67,-0.33,0.33,41.4,,,,,
SL,2025-09-28,87.5,-2.39,6.03,"Rainey, Tanner",686765,663432,field_out,hit_into_play,,,,,4,"Nick Sogard grounds out, second baseman Javier Báez to first baseman Andy Ibáñez.",R,L,R,BOS,DET,X,4,ground_ball,2,2,2025,-0.03,-0.21,-0.3731061778513529,2.276259302903691,,,,1,8,Bot,146.78,145.34,,,,,4.959538633831201,-127.44937379046549,-2.551934244541565,-1.2177225127872229,23.962355154069986,-34.205662703016415,3.1,1.44,42,85.6,0,88.7,2546,6.8,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.73,0.243,0.224,0.0,1,0,0,2,68,6,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,76,-0.008,-0.228,70.6,6.8,0.265,0.228,88.0,1,1,0.851,0.851,32,27,33,28,1,3,7,1,,2,3.16,0.03,-0.03,43.7,0.8325467241857112,0.3929580352052935,37.95010133863013,40.20323149445346,40.353695387549585
FF,2025-09-28,96.6,-2.44,6.04,"Rainey, Tanner",686765,663432,,foul,,,,,12,Foul,R,L,R,BOS,DET,S,,,2,2,2025,-0.49,1.28,0.978503882267958,2.344793436159528,,,,1,8,Bot,,,,,,,10.2294939514442,-140.248787656009,-7.256096247241532,-8.548245539688216,27.566706242546044,-13.761639199167025,3.1,1.44,24,78.1,-4,97.2,2238,6.5,776151,668670,628451,595879,656716,700242,681481,678009,672761,54.01,,,,,,,,68,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,209,0.0,0.0,70.9,7.4,,0.0,88.0,1,1,0.851,0.851,32,27,33,28,1,3,7,1,,2,1.15,0.49,-0.49,44.9,22.65822278546014,-15.15489634217002,43.307300057364365,24.577338916243107,37.65148039494809
SL,2025-09-28,87.2,-2.36,6.04,"Rainey, Tanner",686765,663432,,swinging_strike,,,,,4,Swinging Strike,R,L,R,BOS,DET,S,,,2,1,2025,0.09,-0.09,-0.7981023501453653,2.1662057773885253,,,,1,8,Bot,,,,,,,3.5852755808974583,-127.0076283943774,-3.0156700063683255,0.2419410097139395,25.12153502036708,-32.76053083074636,3.1,1.44,,,,87.8,2428,6.5,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.98,,,,,,,,68,4,Slider,4,3,4,3,3,4,4,3,Standard,Standard,93,-0.003,-0.07,72.4,7.6,,0.07,,1,1,0.854,0.854,32,27,33,28,1,3,7,1,,2,3.07,-0.09,0.09,44.2,27.08125872174869,-11.98829136782928,31.382473813918295,46.21362295712121,46.29120279990741
SL,2025-09-28,88.2,-2.48,6.08,"Rainey, Tanner",686765,663432,,called_strike,,,,,5,Called Strike,R,L,R,BOS,DET,S,,,2,0,2025,0.22,0.09,-0.1479781717297735,2.457182500558396,,,,1,8,Bot,,,,,,,5.248161190724777,-128.35700021716363,-2.9452132392810064,1.3870655519349773,25.469527810942036,-30.80269286299069,3.16851152665419,1.25226177604424,,,,88.7,2493,6.5,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.98,,,,,,,,68,3,Slider,4,3,4,3,3,4,4,3,Standard,Standard,125,-0.003,-0.066,,,,0.066,,1,1,0.857,0.857,32,27,33,28,1,3,7,1,,2,2.83,-0.22,0.22,43.9,,,,,
FF,2025-09-28,96.0,-2.51,6.08,"Rainey, Tanner",686765,663432,,ball,,,,,11,Ball,R,L,R,BOS,DET,B,,,1,0,2025,-0.73,1.43,-0.9107515337507512,3.2589689091056044,,,,1,8,Bot,,,,,,,5.909480446092442,-139.7230390202646,-5.1704069074230175,-10.838930349848397,29.828121273080747,-12.457392563296189,3.2371995866821,1.46083726228889,,,,96.8,2301,6.6,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.89,,,,,,,,68,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,206,0.003,0.071,,,,-0.071,,1,1,0.854,0.854,32,27,33,28,1,3,7,1,,2,1.03,0.73,-0.73,41.7,,,,,
SL,2025-09-28,88.1,-2.51,6.0,"Rainey, Tanner",686765,663432,,ball,,,,,14,Ball,R,L,R,BOS,DET,B,,,0,0,2025,0.11,0.16,0.9909473907984028,0.5285146051322487,,,,1,8,Bot,,,,,,,8.304097395573413,-127.9741613448471,-7.611715764616922,-0.2385758145075933,22.662866308817836,-29.202140120031817,3.21417775172849,1.35723282528836,,,,88.8,2468,6.5,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.98,,,,,,,,68,1,Slider,4,3,4,3,3,4,4,3,Standard,Standard,125,0.001,0.039,,,,-0.039,,1,1,0.853,0.853,32,27,33,28,1,3,7,1,,2,2.76,-0.11,0.11,42.1,,,,,
SL,2025-09-28,89.7,-2.34,6.01,"Rainey, Tanner",666152,663432,strikeout,swinging_strike,,,,,14,David Hamilton strikes out swinging.,R,L,R,BOS,DET,S,2,,2,2,2025,0.24,0.0,0.9660163033638272,0.9602011754936126,,,,0,8,Bot,,,,,,,7.730007132857455,-130.3569361893258,-6.537682706133612,1.119406145946472,26.45182909830369,-30.998092511598,3.33,1.49,,,,90.4,2392,6.7,776151,668670,628451,595879,656716,700242,681481,678009,672761,53.79,,0.0,0.0,1,0,0,,67,7,Slider,4,3,4,3,3,4,4,3,Infield shade,Standard,116,-0.012,-0.232,72.8,7.9,,0.232,,1,1,0.865,0.865,32,27,33,28,1,3,7,1,,,2.83,-0.24,0.24,44.2,15.522948742918327,-16.01119272930877,40.790779084384816,29.549572983674388,39.854500064607755
